epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.4323,0.7468,2.45066,1.07307,0.68857,0.39373,0.45843,0.39283,0.65982,1.71093,0.97913,0.000301557,0.000301557,0.000301557
2,187.298,0.75321,1.60338,1.07122,0.70212,0.46269,0.5489,0.45727,0.74355,1.4837,0.99153,0.000580617,0.000580617,0.000580617
3,279.517,0.72755,1.39125,1.05087,0.73612,0.51852,0.61935,0.513,0.70624,1.36518,0.95579,0.000835679,0.000835679,0.000835679
4,371.348,0.7217,1.27399,1.04043,0.82565,0.57682,0.67329,0.57423,0.67777,1.12305,0.94754,0.000801011,0.000801011,0.000801011
5,463.657,0.69601,1.17081,1.02495,0.86724,0.56266,0.68619,0.5805,0.64282,1.03464,0.93518,0.000765014,0.000765014,0.000765014
6,556.491,0.68186,1.06641,1.01806,0.85983,0.62795,0.73081,0.62206,0.61705,0.89591,0.92583,0.000729018,0.000729018,0.000729018
7,649.878,0.65836,0.99614,1.00671,0.79081,0.66184,0.72691,0.61754,0.61291,0.89331,0.92458,0.000693022,0.000693022,0.000693022
8,738.78,0.64424,0.94086,1.00093,0.91844,0.64773,0.75533,0.64852,0.60068,0.72414,0.9146,0.000657025,0.000657025,0.000657025
9,824.748,0.6381,0.90623,0.99312,0.90688,0.65762,0.76577,0.65646,0.60458,0.71334,0.91406,0.000621029,0.000621029,0.000621029
10,917.661,0.61293,0.85185,0.98685,0.86117,0.64116,0.75533,0.64445,0.59008,0.78561,0.91329,0.000585032,0.000585032,0.000585032
11,1021.6,0.60034,0.80758,0.98179,0.86001,0.67551,0.77778,0.66134,0.58974,0.66423,0.91502,0.000549036,0.000549036,0.000549036
12,1223.59,0.60021,0.77528,0.97679,0.86881,0.7146,0.79046,0.67777,0.5779,0.62243,0.90592,0.00051304,0.00051304,0.00051304
13,1421.74,0.59499,0.75136,0.97208,0.89639,0.68398,0.78977,0.67379,0.57675,0.62401,0.90856,0.000477043,0.000477043,0.000477043
14,1594.18,0.58981,0.72983,0.97327,0.89865,0.70548,0.79742,0.68753,0.57568,0.58929,0.905,0.000441047,0.000441047,0.000441047
15,1690.17,0.5636,0.6981,0.96271,0.90965,0.70659,0.80598,0.69078,0.5558,0.56413,0.8957,0.00040505,0.00040505,0.00040505
16,1815.02,0.5058,0.58693,0.90166,0.90884,0.70766,0.8027,0.67694,0.58976,0.57883,0.90994,0.000369054,0.000369054,0.000369054
17,1951.25,0.49461,0.5356,0.89714,0.87924,0.73178,0.82181,0.70193,0.56724,0.54887,0.90212,0.000333058,0.000333058,0.000333058
18,2086.17,0.48794,0.50757,0.89655,0.90014,0.72849,0.82417,0.70098,0.56585,0.53874,0.90074,0.000297061,0.000297061,0.000297061
19,2221.66,0.47986,0.48081,0.89677,0.89389,0.7368,0.82697,0.71141,0.54566,0.52087,0.89277,0.000261065,0.000261065,0.000261065
20,2355.41,0.46143,0.45572,0.88672,0.91919,0.73718,0.8331,0.71398,0.5475,0.50353,0.89262,0.000225068,0.000225068,0.000225068
21,2489.39,0.4598,0.43661,0.88607,0.89024,0.75233,0.83679,0.72029,0.5454,0.49083,0.88937,0.000189072,0.000189072,0.000189072
22,2623.85,0.44042,0.40619,0.87896,0.90509,0.75873,0.84242,0.72755,0.53278,0.46558,0.88584,0.000153076,0.000153076,0.000153076
23,2759.5,0.43894,0.39293,0.88078,0.90801,0.75237,0.83839,0.71922,0.53886,0.47904,0.88502,0.000117079,0.000117079,0.000117079
24,2895.19,0.42937,0.37595,0.87484,0.90157,0.75793,0.83916,0.72865,0.52885,0.46333,0.88713,8.10828e-05,8.10828e-05,8.10828e-05
25,3016.22,0.42262,0.3704,0.8713,0.91154,0.75746,0.84244,0.73149,0.52793,0.45546,0.88506,4.50864e-05,4.50864e-05,4.50864e-05
