epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.0664,0.73995,2.44293,1.07232,0.3332,0.45231,0.39158,0.32646,0.68609,1.8455,0.95021,0.000301557,0.000301557,0.000301557
2,40.9472,0.73148,1.52642,1.0631,0.64346,0.43321,0.54631,0.45721,0.68911,1.48604,0.9491,0.000587457,0.000587457,0.000587457
3,59.0282,0.71867,1.33123,1.04325,0.76095,0.55301,0.65006,0.54849,0.71269,1.14469,0.96717,0.000856215,0.000856215,0.000856215
4,76.9547,0.7075,1.22694,1.04151,0.82332,0.6033,0.69375,0.57933,0.69618,0.92,0.94957,0.000831865,0.000831865,0.000831865
5,94.6614,0.70083,1.11847,1.03718,0.76389,0.59391,0.6804,0.57057,0.64286,1.01098,0.93633,0.000806153,0.000806153,0.000806153
6,112.078,0.67205,1.03955,1.0213,0.89634,0.62627,0.74664,0.63258,0.63229,0.74768,0.92948,0.000780441,0.000780441,0.000780441
7,129.581,0.64961,0.9423,1.01112,0.85839,0.6505,0.74876,0.63682,0.60101,0.74797,0.91308,0.00075473,0.00075473,0.00075473
8,146.942,0.64454,0.90234,1.00605,0.87511,0.65228,0.75613,0.63744,0.62618,0.70928,0.92147,0.000729018,0.000729018,0.000729018
9,164.55,0.62892,0.87042,1.0001,0.85591,0.67627,0.76377,0.6481,0.60361,0.66277,0.9126,0.000703306,0.000703306,0.000703306
10,181.76,0.62988,0.84355,0.99265,0.87689,0.68411,0.77613,0.6551,0.62151,0.68071,0.92697,0.000677595,0.000677595,0.000677595
11,203.438,0.61652,0.80363,0.99214,0.89352,0.68284,0.78266,0.66765,0.57995,0.62651,0.90208,0.000651883,0.000651883,0.000651883
12,357.716,0.5977,0.76596,0.9845,0.89466,0.68501,0.79047,0.66841,0.58527,0.61503,0.90655,0.000626171,0.000626171,0.000626171
13,516.223,0.606,0.75905,0.98516,0.89455,0.70108,0.80231,0.68416,0.58729,0.58492,0.90599,0.000600459,0.000600459,0.000600459
14,651.749,0.59578,0.73408,0.98212,0.91261,0.69346,0.79931,0.67473,0.59062,0.6004,0.91489,0.000574748,0.000574748,0.000574748
15,693.355,0.57593,0.70578,0.97835,0.91504,0.70467,0.80661,0.68468,0.57922,0.56974,0.90511,0.000549036,0.000549036,0.000549036
16,895.149,0.57074,0.67615,0.97354,0.90269,0.69445,0.80061,0.68366,0.57009,0.56789,0.90117,0.000523324,0.000523324,0.000523324
17,911.952,0.57282,0.67303,0.97132,0.91433,0.71425,0.81641,0.6949,0.5693,0.54033,0.90496,0.000497613,0.000497613,0.000497613
18,927.159,0.56597,0.64342,0.96764,0.88729,0.7298,0.81489,0.69217,0.5575,0.53962,0.90177,0.000471901,0.000471901,0.000471901
19,942.117,0.55668,0.63583,0.96553,0.91111,0.71477,0.81533,0.69266,0.55695,0.53377,0.89594,0.000446189,0.000446189,0.000446189
20,956.7,0.55995,0.62787,0.96781,0.90662,0.7176,0.81458,0.69933,0.5597,0.52988,0.89759,0.000420477,0.000420477,0.000420477
21,971.039,0.55518,0.62106,0.96334,0.92461,0.70997,0.81917,0.70349,0.55198,0.50938,0.89815,0.000394766,0.000394766,0.000394766
22,985.34,0.54578,0.59948,0.96062,0.90719,0.72683,0.82276,0.70993,0.54254,0.50295,0.89108,0.000369054,0.000369054,0.000369054
23,999.367,0.54381,0.59946,0.96046,0.90321,0.72713,0.8216,0.70643,0.54722,0.51978,0.89239,0.000343342,0.000343342,0.000343342
24,1013.65,0.53313,0.57569,0.95208,0.88048,0.75123,0.82538,0.71078,0.5383,0.49716,0.8875,0.000317631,0.000317631,0.000317631
25,1027.95,0.5267,0.56463,0.95138,0.90081,0.73751,0.83063,0.71605,0.54017,0.4827,0.88988,0.000291919,0.000291919,0.000291919
26,1059.54,0.46819,0.45487,0.89153,0.90583,0.73384,0.82652,0.70711,0.54634,0.4939,0.89462,0.000266207,0.000266207,0.000266207
27,1073.51,0.46042,0.42912,0.89375,0.90256,0.74107,0.82909,0.70556,0.54372,0.4877,0.89346,0.000240495,0.000240495,0.000240495
28,1087.36,0.45481,0.41058,0.88631,0.91804,0.74077,0.83565,0.71396,0.54235,0.46718,0.88868,0.000214784,0.000214784,0.000214784
29,1101.16,0.44604,0.39054,0.88448,0.91419,0.73193,0.834,0.71512,0.53805,0.46826,0.8917,0.000189072,0.000189072,0.000189072
30,1114.87,0.43581,0.37607,0.87643,0.90561,0.7509,0.84303,0.72965,0.52694,0.44702,0.885,0.00016336,0.00016336,0.00016336
31,1129.1,0.43125,0.3629,0.87622,0.92437,0.73617,0.84288,0.73074,0.52678,0.44702,0.88782,0.000137649,0.000137649,0.000137649
32,1143.26,0.42022,0.34673,0.87145,0.88645,0.76808,0.8435,0.72881,0.52917,0.44317,0.88814,0.000111937,0.000111937,0.000111937
33,1157.51,0.4148,0.34199,0.87453,0.92252,0.76117,0.84906,0.73514,0.52123,0.42661,0.88501,8.62251e-05,8.62251e-05,8.62251e-05
34,1171.35,0.41178,0.33457,0.87267,0.91298,0.76053,0.84963,0.73713,0.51875,0.42773,0.88451,6.05134e-05,6.05134e-05,6.05134e-05
35,1185.63,0.40368,0.32512,0.86747,0.91391,0.76427,0.85055,0.73929,0.51205,0.42184,0.88239,3.48017e-05,3.48017e-05,3.48017e-05
